name	type	units	sampling_frequency
E1	eeg	uV	500
E2	eeg	uV	500
E3	eeg	uV	500
E4	eeg	uV	500
E5	eeg	uV	500
E6	eeg	uV	500
E7	eeg	uV	500
E8	eeg	uV	500
E9	eeg	uV	500
E10	eeg	uV	500
E11	eeg	uV	500
E12	eeg	uV	500
E13	eeg	uV	500
E14	eeg	uV	500
E15	eeg	uV	500
E16	eeg	uV	500
E17	eeg	uV	500
E18	eeg	uV	500
E19	eeg	uV	500
E20	eeg	uV	500
E21	eeg	uV	500
E22	eeg	uV	500
E23	eeg	uV	500
E24	eeg	uV	500
E25	eeg	uV	500
E26	eeg	uV	500
E27	eeg	uV	500
E28	eeg	uV	500
E29	eeg	uV	500
E30	eeg	uV	500
E31	eeg	uV	500
E32	eeg	uV	500
E33	eeg	uV	500
E34	eeg	uV	500
E35	eeg	uV	500
E36	eeg	uV	500
E37	eeg	uV	500
E38	eeg	uV	500
E39	eeg	uV	500
E40	eeg	uV	500
E41	eeg	uV	500
E42	eeg	uV	500
E43	eeg	uV	500
E44	eeg	uV	500
E45	eeg	uV	500
E46	eeg	uV	500
E47	eeg	uV	500
E48	eeg	uV	500
E49	eeg	uV	500
E50	eeg	uV	500
E51	eeg	uV	500
E52	eeg	uV	500
E53	eeg	uV	500
E54	eeg	uV	500
E55	eeg	uV	500
E56	eeg	uV	500
E57	eeg	uV	500
E58	eeg	uV	500
E59	eeg	uV	500
E60	eeg	uV	500
E61	eeg	uV	500
E62	eeg	uV	500
E63	eeg	uV	500
E64	eeg	uV	500
E65	eeg	uV	500
E66	eeg	uV	500
E67	eeg	uV	500
E68	eeg	uV	500
E69	eeg	uV	500
E70	eeg	uV	500
E71	eeg	uV	500
E72	eeg	uV	500
E73	eeg	uV	500
E74	eeg	uV	500
E75	eeg	uV	500
E76	eeg	uV	500
E77	eeg	uV	500
E78	eeg	uV	500
E79	eeg	uV	500
E80	eeg	uV	500
E81	eeg	uV	500
E82	eeg	uV	500
E83	eeg	uV	500
E84	eeg	uV	500
E85	eeg	uV	500
E86	eeg	uV	500
E87	eeg	uV	500
E88	eeg	uV	500
E89	eeg	uV	500
E90	eeg	uV	500
E91	eeg	uV	500
E92	eeg	uV	500
E93	eeg	uV	500
E94	eeg	uV	500
E95	eeg	uV	500
E96	eeg	uV	500
E97	eeg	uV	500
E98	eeg	uV	500
E99	eeg	uV	500
E100	eeg	uV	500
E101	eeg	uV	500
E102	eeg	uV	500
E103	eeg	uV	500
E104	eeg	uV	500
E105	eeg	uV	500
E106	eeg	uV	500
E107	eeg	uV	500
E108	eeg	uV	500
E109	eeg	uV	500
E110	eeg	uV	500
E111	eeg	uV	500
E112	eeg	uV	500
E113	eeg	uV	500
E114	eeg	uV	500
E115	eeg	uV	500
E116	eeg	uV	500
E117	eeg	uV	500
E118	eeg	uV	500
E119	eeg	uV	500
E120	eeg	uV	500
E121	eeg	uV	500
E122	eeg	uV	500
E123	eeg	uV	500
E124	eeg	uV	500
Cz	unknown	unknown	500
