onset	duration	sample	type	value
0	0.004	1	trigger	onset
2	0.004	1001	trigger	target
4	0.004	2001	trigger	target
6	0.004	3001	trigger	target
8	0.004	4001	trigger	target
10	0.004	5001	trigger	target
12	0.004	6001	trigger	target
14	0.004	7001	trigger	target
16	0.004	8001	trigger	target
18	0.004	9001	trigger	target
20	0.004	10001	trigger	target
22	0.004	11001	trigger	target
24	0.004	12001	trigger	target
26	0.004	13001	trigger	target
28	0.004	14001	trigger	target
30	0.004	15001	trigger	target
32	0.004	16001	trigger	target
34	0.004	17001	trigger	target
36	0.004	18001	trigger	target
38	0.004	19001	trigger	target
40	0.004	20001	trigger	target
42	0.004	21001	trigger	target
44	0.004	22001	trigger	target
46	0.004	23001	trigger	target
48	0.004	24001	trigger	target
50	0.004	25001	trigger	target
52	0.004	26001	trigger	target
54	0.004	27001	trigger	target
56	0.004	28001	trigger	target
58	0.004	29001	trigger	target
60	0.004	30001	trigger	target
62	0.004	31001	trigger	target
64	0.004	32001	trigger	target
66	0.004	33001	trigger	target
68	0.004	34001	trigger	target
